iter	Passed	Remaining
0	1	122
1	2	104
2	2	96
3	3	89
4	4	86
5	5	83
6	6	81
7	6	80
8	7	78
9	8	77
10	9	75
11	10	74
12	10	73
13	11	71
14	12	70
15	13	68
16	13	68
17	14	67
18	15	66
19	16	66
20	17	65
21	18	64
22	19	63
23	19	62
24	20	61
25	21	60
26	22	59
27	22	58
28	23	58
29	24	57
30	25	56
31	26	55
32	27	55
33	27	54
34	28	53
35	29	52
36	30	51
37	31	50
38	31	49
39	32	48
40	33	47
41	34	47
42	34	46
43	35	44
44	36	44
45	36	43
46	37	42
47	38	41
48	38	40
49	39	39
50	40	38
51	41	37
52	41	37
53	42	36
54	43	35
55	44	34
56	45	34
57	46	33
58	46	32
59	47	31
60	48	31
61	49	30
62	50	29
63	51	28
64	51	27
65	52	27
66	53	26
67	54	25
68	55	24
69	55	23
70	56	23
71	57	22
72	57	21
73	58	20
74	59	19
75	60	19
76	60	18
77	61	17
78	62	16
79	62	15
80	63	14
81	64	14
82	65	13
83	65	12
84	66	11
85	67	10
86	67	10
87	68	9
88	69	8
89	69	7
90	70	6
91	71	6
92	72	5
93	72	4
94	73	3
95	74	3
96	75	2
97	75	1
98	76	0
99	77	0
